category,question,answer,source
결제대금 안내,상담사가 손님에게 안내한 결제 예정 금액은 얼마야?,7만 원,AIHub(하나카드)/25113
결제대금 안내,상담사가 손님에게 취소된 영수증 접수 날짜를 알려주었나요?,"예, 상담사는 취소된 영수증이 특정 날짜에 접수되었다고 알려주었습니다.",AIHub(하나카드)/20834
결제대금 안내,상담사가 안내한 결제 가능 금액은 어떻게 산정됩니까?,카드사 전산에 반영된 결제 가능한 금액입니다.,AIHub(하나카드)/24526
결제대금 안내,상담사가 안내한 결제 예정 금액은 언제를 기준으로 계산된 것인가요?,결제일을 기준으로 계산한 것입니다.,AIHub(하나카드)/21610
결제대금 안내,상담사가 안내한 예상 카드 대금은 얼마야?,156만 원,AIHub(하나카드)/21247
결제대금 안내,상담사가 안내한 일시불 금액은 얼마인가?,일시불 금액,AIHub(하나카드)/22637
결제대금 안내,상담사가 안내한 최소 결제 비율 예상 금액에 수수료도 포함되어 있어?,응.,AIHub(하나카드)/25133
결제대금 안내,상담사가 알려준 고객의 리볼빙 수수료율은 얼마지?,15.24%,AIHub(하나카드)/23318
결제대금 안내,상담사가 어떻게 리볼빙 금액을 납부 처리했나요?,연결되어 있는 고객의 은행에서 출금 처리했습니다.,AIHub(하나카드)/21184
결제대금 안내,상담사가 취소 건이 반영된 명세서의 발송 여부를 물을 때 언급한 발송 수단은 뭐야?,우편이다.,AIHub(하나카드)/21935
결제대금 안내,상담사가 확인한 고객의 라이나생명보험 결제 건은 총 몇 건이야?,2건,AIHub(하나카드)/25112
결제대금 안내,상담사가 확인한 고객의 최소 결제 금액은 얼마야?,230만 원,AIHub(하나카드)/24716
결제대금 안내,상담사는 10월 14일을 기준으로 한 고객의 결제 금액을 확인할 수 있었어?,"아니, 10월 10일까지의 결제 금액만을 확인할 수 있었어.",AIHub(하나카드)/25757
결제대금 안내,상담사는 고객 확인을 위해 이름과 영문명을 물어봤지?,응.,AIHub(하나카드)/20663
결제대금 안내,상담사는 고객에게 다음 달에 남은 결제건이 몇 번 있다고 했나요?,상담사는 고객에게 다음 달에 남은 결제건이 한 번 있다고 했습니다.,AIHub(하나카드)/25594
결제대금 안내,상담사는 고객에게 메시지가 왜 왔다고 하였어?,고객이 사용하는 카드에 후불 교통 카드 기능이 있어 결제일에 청구되기 때문에 메시지가 발송된 것이라고 설명했어.,AIHub(하나카드)/20939
결제대금 안내,상담사는 고객에게 무엇을 확인해 주었습니까?,결제 금액과 상환 내역,AIHub(하나카드)/200107
결제대금 안내,상담사는 고객에게 미납금이 있다고 했나요?,"아니요, 대금 완납하여 미납금은 없다고 했습니다.",AIHub(하나카드)/25236
결제대금 안내,상담사는 고객에게 미납금이 있다고 했나요?,아니요.,AIHub(하나카드)/21610
결제대금 안내,상담사는 고객에게 언제 카드대금이 다시 한번 출금될 예정이라고 했나요?,오늘 출금 시도할 예정이라고 했습니다.,AIHub(하나카드)/24891
결제대금 안내,상담사는 고객에게 할부 금액을 문자로 즉시 보내줄 수 있나?,"아니요, 현재 청구서 작업이 완료되지 않아 즉시 안내가 어렵습니다.",AIHub(하나카드)/25940
결제대금 안내,상담사는 고객에게 휴대폰 번호를 왜 물어봤어?,본인 확인을 하기 위해서 물어봤어.,AIHub(하나카드)/22318
결제대금 안내,상담사는 고객의 본인 확인을 위해 고객의 고향을 물었지?,아니.,AIHub(하나카드)/22217
결제대금 안내,상담사는 고객의 승인 거절 기록을 조회했나요?,"네, 조회 결과 거절된 기록은 없었습니다.",AIHub(하나카드)/23143
결제대금 안내,상담사는 고객의 신원 확인을 위하여 무엇을 물어보았나요?,"상담사는 고객의 신원 확인을 위해 등록된 휴대폰 번호, 생년월일 여섯 자리, 이름, 그리고 결제 은행을 물어보았습니다.",AIHub(하나카드)/24473
결제대금 안내,상담사는 고객의 요청대로 즉시 선결제 처리했니?,아니.,AIHub(하나카드)/21795
결제대금 안내,상담사는 고객의 은행 계좌 잔액을 확인해 주었어?,아니.,AIHub(하나카드)/22642
결제대금 안내,"상담사는 고객의 정보 조회를 위해, 고객에게 무엇을 동의해달라고 말했지?",주민 등록 번호 수집 이용,AIHub(하나카드)/21874
결제대금 안내,상담사는 고객의 정보 확인을 위해 무엇을 물어봤어?,"고객의 생년월일, 휴대폰 번호, 이름, 결제 은행을 물어봤어.",AIHub(하나카드)/25415
결제대금 안내,상담사는 고객의 현금 서비스 대출액이 모두 상환되었다고 했나요?,네.,AIHub(하나카드)/26699
결제대금 안내,상담사는 고객이 이용 중인 카드가 몇 장이라고 했지?,1장,AIHub(하나카드)/21610
결제대금 안내,상담사는 고객이 청구서를 어떻게 받을 수 있다고 했지?,이메일로 받을 수 있다고 했어.,AIHub(하나카드)/25236
결제대금 안내,상담사는 대출 권유를 위해 카드사에서 고객에게 전화한 것이라고 했나요?,"아니요, 쇼핑케어 가입 권유를 위해 전화한 것이라고 했습니다.",AIHub(하나카드)/26786
결제대금 안내,상담사는 대출 금액도 리볼빙 대상이라고 했나요?,"아니요, 대출과 할부는 리볼빙 대상이 아니라고 했습니다.",AIHub(하나카드)/26781
결제대금 안내,상담사는 라이트 할부 할인을 고객이 언제 적용받는다고 했지?,결제일 당일,AIHub(하나카드)/25349
결제대금 안내,상담사는 명세서 전송 방법을 우편 발송으로 변경했나요?,"아니요, 우편 발송 대신 카드 앱으로 명세서를 볼 수 있다고 설명했습니다.",AIHub(하나카드)/24730
결제대금 안내,상담사는 문자가 발송된 이후 번호 차단 여부를 확인하라고 안내했나요?,네.,AIHub(하나카드)/24835
결제대금 안내,상담사는 손님에게 계좌 잔고를 비우지 않아도 된다고 안내했나요?,"아니요, 추가 환급이 안 되기 때문에 잔고를 비워야 한다고 했어요.",AIHub(하나카드)/23921
결제대금 안내,상담사는 손님에게 이번 달 결제 대금 청구 예상 액수를 알려줬어?,응.,AIHub(하나카드)/22185
결제대금 안내,상담사는 손님에게 필요한 전화번호를 어떻게 알려 주기로 했나요?,문자로 발송하겠다고 했어요.,AIHub(하나카드)/22074
결제대금 안내,상담사는 신용카드 명세서를 메일로 보낼 거지?,"아니, 우편으로 보낼 거야.",AIHub(하나카드)/22435
결제대금 안내,상담사는 언제부터 미납으로 처리된다고 안내했나요?,내일부터 미납으로 처리된다고 안내했습니다.,AIHub(하나카드)/24842
결제대금 안내,상담사는 연체금이 이중 출금되면 언제 환불된다고 했지?,내일,AIHub(하나카드)/26752
결제대금 안내,상담사는 예정된 금액과 실제 청구되는 금액이 차이가 있을 수 있다고 했나요?,네.,AIHub(하나카드)/22637
결제대금 안내,상담사는 왜 결제 대금이 변동될 수 있다고 했나요?,아직 명세서가 확정되지 않아서 금액이 변동될 수 있다고 설명했습니다.,AIHub(하나카드)/24734
결제대금 안내,상담사는 왜 결제일이 아닌 다른 날짜를 권유했습니까?,결제일에는 이중 출금 등의 문제가 생길 수 있어서 입니다.,AIHub(하나카드)/24528
결제대금 안내,상담사는 왜 청구 금액이 확정된 후에 선결제를 진행하라고 했나요?,당월 금액이 확정도 되지 않아서 선결제를 하게 되면 또 청구가 되기 때문입니다.,AIHub(하나카드)/25493
결제대금 안내,상담사는 왜 현금 서비스 내역에 대해 선결제할 수 없다고 안내했지?,전표 접수 후에 결제가 가능하기 때문이야.,AIHub(하나카드)/21728
결제대금 안내,상담사는 전월을 기준으로 했을 때 언제부터 언제까지 실적이 인정된다고 했지?,1일부터 말일까지,AIHub(하나카드)/20905
결제대금 안내,상담사는 정보 확인을 위해 고객에게 무엇을 물었어?,"고객의 등록된 휴대폰 번호, 이름, 생년월일, 연결된 결제 은행을 물었어.",AIHub(하나카드)/25757
결제대금 안내,상담사는 지연 결제 시 외부 기관에 바로 공유된다고 설명했나요?,아니요.,AIHub(하나카드)/24842
결제대금 안내,상담사는 차감 금액이 반영되지 않은 이유를 뭐라고 설명했나요?,"사용한 금액은 접수되었지만, 명세서에 반영되지 않았으며 결제 대금에서 차감될 예정이라고 설명했습니다.",AIHub(하나카드)/24368
결제대금 안내,상담사는 청구된 케이티 통신 요금이 두 달분인지 손님에게 확인해줬어?,"아니, 상세한 내용은 통신사로 직접 확인하라고 안내했어.",AIHub(하나카드)/26770
결제대금 안내,상담사는 카드 사용 내역 중 아직 청구되지 않은 금액이 있다고 했나요?,"네, 아직 매입이 확인되지 않은 건이 청구될 수도 있다고 했어요.",AIHub(하나카드)/21647
결제대금 안내,상담사는 카드가 정지될 경우 무엇으로 안내가 간다고 했나요?,카카오톡이나 문자로 알림이 간다고 했어요.,AIHub(하나카드)/24770
결제대금 안내,상담사에게 손님이 처음 문의했지만 상담사가 내역을 확인할 수 없었던 것은 뭐야?,청구 예정 금액,AIHub(하나카드)/24278
결제대금 안내,상담에서 고객은 처음에 무엇을 궁금해했나요?,결제 예정 금액,AIHub(하나카드)/25385
결제대금 안내,상담에서 고객의 장기 카드 대출은 몇 회까지 납부된 것으로 확인되었어?,19회,AIHub(하나카드)/21166
결제대금 안내,상담원과 통화하면서 직접 결제한 경우 이중 결제를 피하려면 어떻게 해야 해?,카드 대금 결제 계좌의 잔고를 비워야 해.,AIHub(하나카드)/200162
결제대금 안내,상담원은 고객에게 1년 동안 실적을 충족한 횟수를 정확히 알려줬어?,아니.,AIHub(하나카드)/24248
결제대금 안내,상담원은 고객에게 금액 정보를 문자로 즉시 보내줄 수 있나요?,"예, 금액 정보는 즉시 문자로 보내드릴 수 있습니다.",AIHub(하나카드)/24060
결제대금 안내,상담원은 고객의 결제 금액을 변경해주었나?,"예, 고객이 원하는 금액으로 결제 설정을 변경해드렸습니다.",AIHub(하나카드)/200301
결제대금 안내,상담원은 고객이 출금 요청한 전체 금액을 한 번에 출금 처리하였나요?,"아니요, 연체 금액과 나머지 금액으로 나누어 두 번에 걸쳐 출금 처리했어요.",AIHub(하나카드)/200502
결제대금 안내,상담원은 상담 당일 승인된 내용이 미결제 잔액으로 바로 확인된다고 안내했나요?,"아니요, 상담 당시 미결제 잔액에 확인되지 않는다고 안내했어요.",AIHub(하나카드)/25344
결제대금 안내,상담원의 답변에 의하면 학원비 결제가 잘못 승인된 거야?,"아니, 이상이 있는 것이 아니라 6월과 7월 학원비가 이달에 함께 청구된 거야.",AIHub(하나카드)/25844
결제대금 안내,상담원의 확인 결과 고객이 결제할 금액이 남아 있었나요?,아니요.,AIHub(하나카드)/23133
결제대금 안내,상담원이 고객에게 다음 달 청구 금액을 안내했나요?,아니요.,AIHub(하나카드)/20870
결제대금 안내,상담원이 고객의 청구 건들 중 선결제 처리를 한 것은 뭐야?,상담원은 이자가 있는 할부 건과 일시불을 포함하여 선결제 처리를 했어.,AIHub(하나카드)/25385
결제대금 안내,상담원이 고객의 카드 사용 등록을 위해 고객에게 연결해 준 건 뭐야?,에이알에스,AIHub(하나카드)/24558
결제대금 안내,상담원이 고객이 요구한 잔액을 확인하기 위해 먼저 고객에게 물어본 것들은 뭐야?,"생년월일 앞 여섯 자리, 휴대폰 번호, 이름, 결제 계좌 은행명을 물어봤어.",AIHub(하나카드)/23847
결제대금 안내,상담원이 고객이 요청한 일시불 결제 건과 함께 출금을 진행한 것은 뭐지?,상담원은 미결제된 연회비도 같이 출금 처리하였다.,AIHub(하나카드)/25344
결제대금 안내,상담원이 안내한 오늘 마지막 출금은 언제야?,밤 11시 반,AIHub(하나카드)/23118
결제대금 안내,상담원이 확인한 카드론의 원금은 얼마인가요?,특정 금액,AIHub(하나카드)/200080
결제대금 안내,상담하고 있는 카드 회사의 경우 종합 병원 결제 시 할부가 가능하니?,응.,AIHub(하나카드)/21240
결제대금 안내,선결제 시 이자와 원금 일부만 납부할 수 있나요?,"네, 전체 금액이 아닌 이자와 일부 원금만 선결제하는 것도 가능합니다.",AIHub(하나카드)/25493
결제대금 안내,손님 카드의 연회비는 얼마야?,2만 원,AIHub(하나카드)/22565
결제대금 안내,손님에게 안내한 카드 결제 예정 금액은 확정된 거야?,"아니, 오늘 조회한 금액이고 당월 대금이 확정되지 않았기 때문에 결제일에는 금액이 달라질 수 있어.",AIHub(하나카드)/23588
결제대금 안내,손님은 결제 계좌에 잔고가 지금 없나요?,네.,AIHub(하나카드)/24834
결제대금 안내,손님은 결제 예정 금액을 어디서 확인할 수 있나요?,페이 앱에서 확인할 수 있습니다.,AIHub(하나카드)/24368
결제대금 안내,손님은 대출 안내를 받았어?,"아니, 안내를 거절했어.",AIHub(하나카드)/27134
결제대금 안내,손님은 리볼빙 서비스를 사용하고 있어?,응.,AIHub(하나카드)/26880
결제대금 안내,손님은 모바일로 결제 내역을 보고 있어?,응.,AIHub(하나카드)/24869
결제대금 안내,손님은 무슨 이유로 문의를 했나요?,손님은 은행 카드를 해지했음에도 불구하고 청구금액이 발생한 이유에 대해 문의했습니다.,AIHub(하나카드)/24834
결제대금 안내,손님은 무엇을 보고 선결제가 정상적으로 이루어지지 않았다고 오해했지?,결제 예정 금액 명세서,AIHub(하나카드)/21961
결제대금 안내,손님은 무엇을 요구하고 있습니까?,결제 방식을 부분 무이자에서 일시불로 변경해 달라고 요구하고 있습니다.,AIHub(하나카드)/23304
결제대금 안내,손님은 보이스피싱 피해가 의심되는 카드를 정지시켰어?,"아니, 잔액이 없으면 결제가 거절되므로 카드를 정지시키지는 않았어.",AIHub(하나카드)/25650
결제대금 안내,손님은 왜 카드 결제 계좌의 잔액을 다른 데로 옮겼어?,사용하지도 않은 체크카드의 승인 문자를 받고 보이스피싱이라고 의심돼서 잔액을 비웠어.,AIHub(하나카드)/25650
결제대금 안내,손님은 이중 출금된 금액에 대해 환급 받을 예정이야?,응.,AIHub(하나카드)/21689
결제대금 안내,손님은 장기 카드 대출을 추가로 신청할 수 있는 상황이야?,아니.,AIHub(하나카드)/200026
결제대금 안내,손님은 제품을 구입하기 전에 상담사한테 뭘 확인하고 있어?,할부 이자 금액,AIHub(하나카드)/200143
결제대금 안내,손님은 지금 카드를 가지고 있어?,아니.,AIHub(하나카드)/21247
결제대금 안내,손님은 청구된 결제 대금을 별도로 이체해야 해?,"아니, 결제 계좌에 청구 금액을 넣어두면 출금돼.",AIHub(하나카드)/23864
결제대금 안내,손님은 추가로 이용 대금 명세서 발송을 요청했나?,"아니요, 추가 발송을 원하지 않았습니다.",AIHub(하나카드)/21935
결제대금 안내,손님은 카드 대금을 최소 금액으로 납부하기로 했나?,"예, 최소 금액만큼만 납부하기로 했습니다.",AIHub(하나카드)/23915
결제대금 안내,손님은 카드 대출 상담을 원하나요?,"아니요, 카드 대출 상담을 원하지 않습니다.",AIHub(하나카드)/27146
결제대금 안내,손님은 카드 명세서를 언제 받을 수 있어?,결제일이 가까워지면 문자로 받을 수 있어.,AIHub(하나카드)/26961
결제대금 안내,손님의 가상계좌는 무슨 은행이야?,포도은행,AIHub(하나카드)/24828
결제대금 안내,손님의 결제 계좌에 현재 충분한 금액이 있나요?,"예, 일부 금액이 이미 계좌에 있습니다.",AIHub(하나카드)/200490
결제대금 안내,손님의 계좌에서 해당 금액이 왜 출금됐어?,손님의 동물 병원과 후불 하이패스 이용건에 대한 할부 금액이 해당 날짜에 청구되었다.,AIHub(하나카드)/200100
결제대금 안내,손님의 리볼빙 약정은 어떻게 설정되어 있어?,약정 비율이 최소 금액으로 설정되어 있어.,AIHub(하나카드)/26961
결제대금 안내,손님의 명세서에 청구된 이월 금액에 문제가 있었어?,아니.,AIHub(하나카드)/200273
결제대금 안내,손님의 명세서에는 왜 취소 내역이 반영되지 않았어?,명세서 작성일 이후에 취소된 건이라 명세서에는 결제 내역으로 기재되어 있어.,AIHub(하나카드)/24869
결제대금 안내,손님의 상담은 분실 신고와 관련된 상담입니까?,아니요.,AIHub(하나카드)/23304
결제대금 안내,손님의 이번 달 카드 결제 예정 금액은 얼마인가?,할인 후 결제 예정 금액,AIHub(하나카드)/22419
결제대금 안내,손님의 이번 달 카드론 이자가 늘어난 것은 무엇 때문이지?,결제일이 주말이어서 실 결제일이 늦어져 이자가 가산되었기 때문이야.,AIHub(하나카드)/27127
결제대금 안내,손님의 체크카드는 누가 사용하고 있어?,손님의 딸,AIHub(하나카드)/25650
결제대금 안내,손님의 카드 결제 금액은 현재 모두 납부되었나요?,"예, 모든 결제 금액이 납부되었습니다.",AIHub(하나카드)/21112
결제대금 안내,손님의 카드는 뭐가 할인되는 카드야?,상조비,AIHub(하나카드)/26969
결제대금 안내,손님의 카드에 에스케이텔레콤 요금 할인이 적용되었나?,"예, 에스케이텔레콤 요금에 할인이 적용되었습니다.",AIHub(하나카드)/27113
결제대금 안내,손님의 할부 거래는 몇 건이지?,3건,AIHub(하나카드)/200214
결제대금 안내,손님의 해지한 카드에 발생한 청구 금액은 문자 사용료가 맞아?,응.,AIHub(하나카드)/24834
결제대금 안내,손님이 12일에 결제할 금액에는 할부 금액이 다 포함됐어?,응.,AIHub(하나카드)/21696
결제대금 안내,손님이 결제를 취소했는데 왜 내역서에 결제 건으로 기재됐어?,청구서 작성 이후에 취소했기 때문에 청구서에는 남아 있어.,AIHub(하나카드)/24389
결제대금 안내,손님이 결제일에 납부할 금액에는 캠핑장 예약을 결제한 건이 포함되어 있지 않아?,"응, 취소 처리되어 청구되지 않아.",AIHub(하나카드)/24869
결제대금 안내,손님이 결제할 금액은 어디에서 사용한 거야?,롯데프리미엄 푸드 마켓과 전화 요금이야.,AIHub(하나카드)/25113
결제대금 안내,손님이 내일 다시 확인을 하기로 한 출금 금액은 얼마야?,5만 원,AIHub(하나카드)/21689
결제대금 안내,손님이 대명스테이션에서 결제한 2건 모두 할인받았어?,응.,AIHub(하나카드)/26969
결제대금 안내,손님이 마지막으로 궁금해한 게 뭐야?,현재 한도,AIHub(하나카드)/200018
결제대금 안내,손님이 매달 자동 납부하는 통신 요금은 얼마야?,5만 원,AIHub(하나카드)/26770
결제대금 안내,손님이 문의한 카드는 현재 해지된 상태인가?,"예, 손님이 해지한 카드입니다.",AIHub(하나카드)/20626
결제대금 안내,손님이 받지 못했다고 문의한 것은 무엇인가요?,내역서 문자,AIHub(하나카드)/24835
결제대금 안내,손님이 버스에서 내릴 때 단말기에 카드를 태그하지 않은 건 몇 번이야?,3번,AIHub(하나카드)/23864
결제대금 안내,손님이 보유한 카드는 사용 실적에 따라 어떻게 할인돼?,"전월 실적 30만 원부터 60만 원 미만은 1만 원 할인, 60만 원 이상은 2만 원 할인돼.",AIHub(하나카드)/26969
결제대금 안내,손님이 분실했다고 언급한 카드는 무엇인가?,체크카드,AIHub(하나카드)/22642
결제대금 안내,손님이 사용하는 교통 카드는 언제 패널티가 적용돼?,버스에서 내릴 때 단말기에 카드를 태그하지 않으면 패널티가 부과돼.,AIHub(하나카드)/23864
결제대금 안내,손님이 사용하는 카드의 실적 기준은 언제부터 언제까지인가요?,카드 실적은 매월 초부터 말일까지 사용된 금액이 실 승인 기준으로 적용됩니다.,AIHub(하나카드)/22051
결제대금 안내,손님이 사용한 포인트만큼의 금액은 언제 환급되지?,이용한 영수증이 카드사에 반영되면 환급돼.,AIHub(하나카드)/27136
결제대금 안내,손님이 상담사에게 알려달라고 문의한 게 뭐야?,선결제 가능 금액,AIHub(하나카드)/200144
결제대금 안내,손님이 새 카드 수령 후 자동이체를 계속 이용하려면 어떻게 해야 해?,별도로 변경해야 해.,AIHub(하나카드)/27134
결제대금 안내,손님이 신발을 구매하려고 한 매장은 어디인가요?,나이키 매장입니다.,AIHub(하나카드)/23143
결제대금 안내,손님이 요청한 카드 대금 결제에 연회비도 포함됐어?,응.,AIHub(하나카드)/23589
결제대금 안내,손님이 월 결제 금액 알림이 오지 않는다고 말한 시점은 언제부터인가요?,지난 달부터,AIHub(하나카드)/23828
결제대금 안내,손님이 의문을 제기한 대중교통 이용 시간은 언제인가요?,오후 몇 시 몇 분,AIHub(하나카드)/21808
결제대금 안내,"손님이 이번 달 결제할 금액은 35,400원이야?",응.,AIHub(하나카드)/22565
결제대금 안내,손님이 이번 달에 결제할 금액은 할부 결제가 포함되어 있어?,"아니, 할부 금액은 없고 일시불의 리볼빙과 현금 서비스만 있어.",AIHub(하나카드)/26961
결제대금 안내,손님이 적립한 포인트는 모두 얼마지?,"26,753원",AIHub(하나카드)/27136
결제대금 안내,손님이 적립한 포인트는 정상적으로 사용됐어?,응.,AIHub(하나카드)/27136
결제대금 안내,손님이 체크카드를 해지하면 그 시점에 모든 사용 금액이 출금 완료돼?,"아니, 후불 교통카드는 나중에 청구돼.",AIHub(하나카드)/27127
결제대금 안내,손님이 최근에 받은 새로운 카드는 무엇인가요?,카드 유효 기간이 지나 다시 발급받은 체크카드,AIHub(하나카드)/22435
결제대금 안내,손님이 카드 대금 결제 계좌를 변경한 방법이 인터넷을 통해서 한 것이 맞습니까?,아니요.,AIHub(하나카드)/200207
결제대금 안내,손님이 카드 대금이 통장에서 인출되지 않았다고 생각하는 결제일은 언제야?,12월 23일,AIHub(하나카드)/200207
결제대금 안내,손님이 통신 요금과 더불어 최종적으로 청구된 금액은 얼마야?,케이티 통신 요금 자동 납부 금액 5만 원과 홈플러스에서 사용한 7만 원을 합한 12만 원이야.,AIHub(하나카드)/26770
결제대금 안내,손님이 할부를 이용한 날짜가 기존에 이용하던 때보다 더 길어져서 요금이 더 많이 나온 거야?,응.,AIHub(하나카드)/20956
결제대금 안내,손님이 해지하고 환불 처리를 요청한 상품은 무엇인가?,자동차 보험,AIHub(하나카드)/200194
결제대금 안내,손님이 해지한 카드의 종류는 무엇인가요?,체크카드,AIHub(하나카드)/21892
결제대금 안내,손님이 현재 사용하고 있는 카드 종류는 무엇인가요?,신용카드,AIHub(하나카드)/22046
결제대금 안내,손님이 현재 이용 중인 카드 서비스가 뭐야?,장기 카드 대출,AIHub(하나카드)/200026
결제대금 안내,손님이 현재 이용하고 있는 할부 건수가 얼마나 돼?,4건,AIHub(하나카드)/23588
결제대금 안내,손님이 확인하고 싶어 했던 결제 대금은 무엇인가요?,복지 포인트 차감 내역,AIHub(하나카드)/21986
결제대금 안내,수수료 없는 카드를 은행에 가서 신청하려면 무엇을 가지고 가야 하지?,신분증,AIHub(하나카드)/26786
결제대금 안내,신용카드 결제 예정 금액은 해당 은행 앱으로만 확인할 수 있어?,아니.,AIHub(하나카드)/20884
결제대금 안내,신용카드 소유자와 결제 계좌 명의자가 다르게 등록이 가능해?,"아니, 동일한 명의여야 등록이 가능해.",AIHub(하나카드)/200395
결제대금 안내,신용카드는 사용한 후 바로 선결제를 할 수 있어요?,아니요.,AIHub(하나카드)/23766
결제대금 안내,어떻게 발급 수수료를 돌려받을 수 있어?,고객은 체크카드를 일정 금액 이상 사용하면 발급 수수료를 환급받을 수 있다.,AIHub(하나카드)/22642
결제대금 안내,어떻게 청구 비율을 바꾸면 매달 사용한 금액이 정상 청구되게 할 수 있어?,청구 비율을 100%로 변경하면 가능해.,AIHub(하나카드)/25155
결제대금 안내,어르신 무임 교통카드가 있으면 무조건 버스를 무료로 탈 수 있어?,"아니, 교통 회사에 따라 운임을 내야 하는 경우도 있어.",AIHub(하나카드)/25659
결제대금 안내,어제 결제한 내역은 현재 결제 예상 금액에 포함되어 있어?,아니.,AIHub(하나카드)/21820
결제대금 안내,어제 결제한 내역이 포함된 결제 예상 금액은 언제 확인 가능해?,오늘 오후 늦게 혹은 내일,AIHub(하나카드)/21820
결제대금 안내,언제 확인해야 선결제 납부 금액을 정확하게 안내받지?,납부 당일,AIHub(하나카드)/22046
결제대금 안내,언제부터 사용한 카드 대금이 11월 21일에 청구되는 거야?,10월 9일부터 사용하는 게 청구가 돼.,AIHub(하나카드)/27312
결제대금 안내,"언제부터 오늘까지의 실적이 1,256,000원이야?",11월 1일,AIHub(하나카드)/26878
결제대금 안내,연체되지 않으려면 언제까지 추가 납부 금액을 내야 하나요?,오늘 납부하면 정상 납부 처리됩니다.,AIHub(하나카드)/200492
결제대금 안내,오늘 결제된 금액은 고객이 어디에서 사용한 금액이야?,지에스 리테일,AIHub(하나카드)/25282
결제대금 안내,오늘 기준으로 고객의 이번 달 결제 금액은 얼마야?,"1,352,000원",AIHub(하나카드)/21313
결제대금 안내,오늘 납부하면 연체되지 않는다는 것이 맞나요?,"예, 결제일에 정상적으로 납부하시면 연체되지 않습니다.",AIHub(하나카드)/200492
결제대금 안내,오늘 왜 선결제를 할 수 없어?,청구서 작업이 확정되지 않아서,AIHub(하나카드)/25133
결제대금 안내,오늘이나 내일 선결제를 하면 다음 달에 영향을 줄 수 있나요?,"예, 다음 달에 나올 수 있는 금액에 영향을 줄 수 있습니다.",AIHub(하나카드)/200588
결제대금 안내,오토 케어 프리미엄 서비스 요금은 얼마인가요?,"매월 5,000원입니다.",AIHub(하나카드)/25473
결제대금 안내,오토 케어 프리미엄 서비스 해지 후 재가입이 가능한 시점은 언제인가요?,해지 월 포함 2개월 후입니다.,AIHub(하나카드)/25473
결제대금 안내,오토 케어 프리미엄 서비스의 주요 혜택은 무엇인가요?,차량 정보 조회와 차량 가치 및 신용정보 조회 서비스입니다.,AIHub(하나카드)/25473
결제대금 안내,왜 고객의 계좌에 잔고가 있었는데 일부 금액이 다음 달로 이월된 거야?,고객이 리볼빙 이월 약정 금액 비율을 50%로 설정해 놨기 때문이야.,AIHub(하나카드)/24590
결제대금 안내,왜 고객의 카드 명세서 전달이 지연되고 있지?,우체국 일반 우편은 분실도 많이 되고 배송 지연이 많기 때문이다.,AIHub(하나카드)/25033
결제대금 안내,왜 고객이 해지한 카드에도 금액이 청구되고 있어?,카드 결제 금액이 남아있기 때문이다.,AIHub(하나카드)/23915
결제대금 안내,왜 상담원은 고객에게 은행잔고를 비워두라고 했지?,상담원은 이중 출금을 방지하기 위해 고객에게 은행 잔고를 비워두라고 했어.,AIHub(하나카드)/23999
결제대금 안내,왜 선결제 후에도 청구되는 금액이 있을 수 있습니까?,후불 교통카드 이용 내역이나 에스엠에스 이용 요금 등 자동 이체 건은 선결제 가능 금액에 포함되지 않습니다.,AIHub(하나카드)/24526
결제대금 안내,왜 손님의 명세서 금액과 실제 결제금액이 다르지?,명세서에 취소 명세가 반영되지 않았기 때문이야.,AIHub(하나카드)/27134
결제대금 안내,왜 손님의 신용카드 명세서 금액과 실제 출금액이 달랐지?,체크카드 후불 교통카드 금액이 같이 출금되었기 때문이야.,AIHub(하나카드)/27127
결제대금 안내,왜 장기 카드 대출 한도가 줄어들 수 있지?,"고객의 신용 평점, 부채, 소득 등이 달라질 수 있어서야.",AIHub(하나카드)/24313
결제대금 안내,원래는 카드를 만들면 통신 비용 결제 카드로 자동 연결돼?,"아니, 고객이 직접 연결해야 해.",AIHub(하나카드)/25408
결제대금 안내,유럽에서 체크카드를 사용했을 경우 카드 대금을 결제하려면 유로화와 원화 중 무엇으로 충전해야 해?,원화,AIHub(하나카드)/22670
결제대금 안내,유효 기간이 만료된 고객의 카드는 신용카드가 맞아?,"아니, 체크 카드였어.",AIHub(하나카드)/22046
결제대금 안내,은행 대출 할인을 받기 위한 사용 기간은 언제까지인가?,해당 월의 결제일,AIHub(하나카드)/20663
결제대금 안내,은행 대출을 카드 결제하는 것도 카드사에 신청할 수 있어?,"아니, 은행에 문의해야 돼.",AIHub(하나카드)/25415
결제대금 안내,이 상담에서 고객은 선결제를 하고 싶다고 하고 있어?,아니. 고객은 오늘 기준 미결제된 잔액의 총금액을 알고 싶다고 하고 있어.,AIHub(하나카드)/23847
결제대금 안내,이 손님은 단기 현금 서비스를 장기 카드 대출로 전환했나요?,아니요.,AIHub(하나카드)/21129
결제대금 안내,이마트에서 이용한 할부는 수수료 면제 혜택을 받았나?,"예, 무이자 할부 혜택으로 할부수수료가 면제되었습니다.",AIHub(하나카드)/25076
결제대금 안내,이미 청구서에 명시된 금액은 변경할 수 없지?,응.,AIHub(하나카드)/22550
결제대금 안내,이번 달 결제 대금 100만 원은 이월 금액을 제외한 값이야?,"아니, 포함한 값이야.",AIHub(하나카드)/27272
